Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Philip Rivers*,SDG,29,QB,16,16,9/7/00,357,541,66,4710,30,5.5,13,2.4,234,59,8.7,8.7,13.2,294.4,101.8,66.9,38,227,7.74,7.77,6.6,1,1
2,Peyton Manning*,IND,34,QB,16,16,10/6/00,450,679,66.3,4700,33,4.9,17,2.5,253,73,6.9,6.8,10.4,293.8,91.9,71.6,16,91,6.63,6.48,2.3,0,2
3,Drew Brees*,NOR,31,QB,16,16,11/5/00,448,658,68.1,4620,33,5,22,3.3,238,80,7,6.5,10.3,288.8,90.9,70.8,25,185,6.49,6.01,3.7,4,5
4,Matt Schaub,HOU,29,QB,16,16,6/10/00,365,574,63.6,4370,24,4.2,12,2.1,221,60,7.6,7.5,12,273.1,92,61,32,226,6.84,6.74,5.3,2,2
5,Eli Manning,NYG,29,QB,16,16,10/6/00,339,539,62.9,4002,31,5.8,25,4.6,169,92,7.4,6.5,11.8,250.1,85.3,57.7,16,117,7,6.09,2.9,1,1
6,Carson Palmer,CIN,31,QB,16,16,4/12/00,362,586,61.8,3970,26,4.4,20,3.4,206,78,6.8,6.1,11,248.1,82.4,55.1,26,201,6.16,5.54,4.2,1,1
7,Aaron Rodgers,GNB,27,QB,15,15,10/5/00,312,475,65.7,3922,28,5.9,11,2.3,183,86,8.3,8.4,12.6,261.5,101.2,69.6,31,193,7.37,7.5,6.1,0,1
8,Tom Brady*+,NWE,33,QB,16,16,14-2-0,324,492,65.9,3900,36,7.3,4,0.8,189,79,7.9,9,12,243.8,111,79.1,25,175,7.21,8.25,4.8,2,3
9,Matt Ryan*,ATL,25,QB,16,16,13-3-0,357,571,62.5,3705,28,4.9,9,1.6,202,46,6.5,6.8,10.4,231.6,91,71.2,23,158,5.97,6.23,3.9,5,6
10,Kyle Orton,DEN,28,QB,13,13,3/10/00,293,498,58.8,3653,20,4,9,1.8,173,71,7.3,7.3,12.5,281,87.5,53.8,34,243,6.41,6.4,6.4,1,1
11,Joe Flacco,BAL,25,QB,16,16,12/4/00,306,489,62.6,3622,25,5.1,10,2,174,67,7.4,7.5,11.8,226.4,93.6,59.1,40,294,6.29,6.39,7.6,2,4
12,Sam Bradford,STL,23,QB,16,16,7/9/00,354,590,60,3512,18,3.1,15,2.5,179,49,6,5.4,9.9,219.5,76.5,46.9,34,244,5.24,4.73,5.4,,
13,Josh Freeman,TAM,22,QB,16,16,10/6/00,291,474,61.4,3451,25,5.3,6,1.3,167,64,7.3,7.8,11.9,215.7,95.9,69.5,28,195,6.49,6.94,5.6,5,5
