Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
33,Trent Dilfer,SEA,29,,6,4,4-0-0,73,122,59.8,1014,7,5.7,4,3.3,43,54,8.3,8,13.9,169,92,10,72,7.14,6.83,7.6,0,0
34,Ty Detmer,DET,34,qb,4,4,1-3-0,92,151,60.9,906,3,2,10,6.6,43,27,6,3.4,9.8,226.5,56.9,12,75,5.1,2.71,7.4,1,1
35,Todd Bouman,MIN,29,,5,3,1-2-0,51,89,57.3,795,8,9,4,4.5,32,80,8.9,8.7,15.6,159,98.3,4,27,8.26,8.04,4.3,,
36,Michael Vick,ATL,21,,8,2,1-1-0,50,113,44.2,785,2,1.8,3,2.7,34,52,6.9,6.1,15.7,98.1,62.7,21,113,5.01,4.31,15.7,,
37,Shane Matthews,CHI,31,,4,3,2-1-0,84,129,65.1,694,5,3.9,6,4.7,45,34,5.4,4.1,8.3,173.5,72.3,6,48,4.79,3.53,4.4,2,0
38,Mike McMahon,DET,22,,8,3,1-2-0,53,115,46.1,671,3,2.6,1,0.9,33,69,5.8,6,12.7,83.9,69.9,21,122,4.04,4.15,15.4,1,1
39,Randall Cunningham,BAL,38,,6,2,2-0-0,54,89,60.7,573,3,3.4,2,2.2,31,30,6.4,6.1,10.6,95.5,81.3,12,66,5.02,4.72,11.9,1,2
40,Anthony Wright,DAL,25,,4,3,1-2-0,48,98,49,529,5,5.1,5,5.1,23,80,5.4,4.1,11,132.3,61.1,5,30,4.84,3.63,4.9,1,1
41,Neil O'Donnell,TEN,35,,5,1,0-1-0,42,76,55.3,496,2,2.6,2,2.6,19,35,6.5,5.9,11.8,99.2,73.1,6,58,5.34,4.73,7.3,,
42,Ryan Leaf,DAL,25,,4,3,0-3-0,45,88,51.1,494,1,1.1,3,3.4,24,38,5.6,4.3,11,123.5,57.7,12,82,4.12,2.97,12,,
43,Spergon Wynn,MIN,23,,3,2,0-2-0,48,98,49,418,1,1,6,6.1,20,47,4.3,1.7,8.7,139.3,38.6,10,65,3.27,0.95,9.3,,
44,Drew Bledsoe,NWE,29,,2,2,0-2-0,40,66,60.6,400,2,3,2,3,18,58,6.1,5.3,10,200,75.3,5,21,5.34,4.63,7,,
45,Jonathan Quinn,JAX,26,,6,1,0-1-0,32,61,52.5,361,1,1.6,1,1.6,17,45,5.9,5.5,11.3,60.2,69.1,6,43,4.75,4.37,9,,
46,Clint Stoerner,DAL,24,,4,2,1-1-0,26,49,53.1,314,3,6.1,5,10.2,18,28,6.4,3,12.1,78.5,53.8,5,22,5.41,2.35,9.3,,
47,Gus Frerotte,DEN,30,,4,1,0-1-0,30,48,62.5,308,3,6.3,0,0,19,26,6.4,7.7,10.3,77,101.7,3,21,5.63,6.8,5.9,,
48,Drew Brees,SDG,22,,1,0,,15,27,55.6,221,1,3.7,0,0,11,40,8.2,8.9,14.7,221,94.8,2,12,7.21,7.9,6.9,,
49,Shaun King,TAM,24,,3,0,,21,31,67.7,210,0,0,1,3.2,10,42,6.8,5.3,10,70,73.3,3,29,5.32,4,8.8,,
50,Travis Brown,BUF,24,,1,0,,15,33,45.5,201,1,3,2,6.1,11,34,6.1,4,13.4,201,50.2,1,2,5.85,3.79,2.9,,
51,Jeff George,WAS,34,,2,2,0-2-0,23,42,54.8,168,0,0,3,7.1,6,17,4,0.8,7.3,84,34.6,6,38,2.71,-0.1,12.5,,
52,Tommy Maddox,PIT,30,,3,0,,7,9,77.8,154,1,11.1,1,11.1,4,57,17.1,14.3,22,51.3,116.2,1,4,15,12.5,10,,
53,A.J. Feeley,PHI,24,,1,0,,10,14,71.4,143,2,14.3,1,7.1,8,27,10.2,9.9,14.3,143,114,0,0,10.21,9.86,0,1,1
54,Matt Lytle,CAR,26,,3,1,0-1-0,17,30,56.7,133,1,3.3,3,10,5,28,4.4,0.6,7.8,44.3,39.3,3,24,3.3,-0.18,9.1,,
55,Kent Graham,WAS,33,,3,0,,13,19,68.4,131,2,10.5,0,0,9,16,6.9,9,10.1,43.7,122.9,2,16,5.48,7.38,9.5,2,2
56,Brock Huard,SEA,25,,1,0,,9,17,52.9,127,1,5.9,0,0,6,44,7.5,8.6,14.1,127,96.9,1,5,6.78,7.89,5.6,,
57,Kelly Holcomb,CLE,28,,1,0,,7,12,58.3,114,1,8.3,0,0,5,25,9.5,11.2,16.3,114,118.1,0,0,9.5,11.17,0,,
58,Chad Pennington,NYJ,25,,2,0,,10,20,50,92,1,5,0,0,5,24,4.6,5.6,9.2,46,79.6,1,8,4,4.95,4.8,,
59,Jarious Jackson,DEN,24,,1,0,,7,12,58.3,73,0,0,0,0,5,19,6.1,6.1,10.4,73,76,1,6,5.15,5.15,7.7,,
60,David Patten,NWE,27,WR,16,14,,1,2,50,60,1,50,1,50,1,60,30,17.5,60,3.8,95.8,0,0,30,17.5,0,,
61,Mark Rypien,IND,39,,4,0,,5,9,55.6,57,0,0,0,0,4,21,6.3,6.3,11.4,14.3,74.8,1,6,5.1,5.1,10,,
62,Koy Detmer,PHI,28,,16,0,,5,14,35.7,51,0,0,1,7.1,2,16,3.6,0.4,10.2,3.2,17.3,1,9,2.8,-0.2,6.7,,
63,Az-Zahir Hakim,STL,24,,16,1,,1,1,100,51,1,100,0,0,1,51,51,71,51,3.2,158.3,0,0,51,71,0,,
64,Ray Lucas,MIA,29,,10,0,,2,3,66.7,45,0,0,0,0,2,28,15,15,22.5,4.5,109.7,0,0,15,15,0,0,0
65,Todd Collins,KAN,30,,1,0,,3,4,75,40,0,0,0,0,1,26,10,10,13.3,40,106.2,0,0,10,10,0,,
66,Tony Gonzalez*+,KAN,25,TE,16,16,,1,1,100,40,0,0,0,0,1,40,40,40,40,2.5,118.7,0,0,40,40,0,,
67,Chris Mohr,ATL,35,,16,0,,2,2,100,40,0,0,0,0,1,42,20,20,20,2.5,118.7,0,0,20,20,0,,
68,Ken Dilger*,IND,30,TE,16,16,,1,1,100,39,1,100,0,0,1,39,39,59,39,2.4,158.3,0,0,39,59,0,,
69,Scott Mitchell,CIN,33,,1,0,,4,12,33.3,38,0,0,3,25,2,16,3.2,-8.1,9.5,38,3.5,2,15,1.64,-8,14.3,,
70,Akili Smith,CIN,26,,2,1,0-1-0,5,8,62.5,37,0,0,0,0,3,14,4.6,4.6,7.4,18.5,73.4,1,3,3.78,3.78,11.1,,
71,Marty Booker,CHI,25,WR,16,16,,1,2,50,34,1,50,0,0,1,34,17,27,34,2.1,135.4,0,0,17,27,0,,
72,Dameyune Craig,CAR,27,,2,0,,4,8,50,34,0,0,0,0,2,18,4.3,4.3,8.5,17,61.5,2,15,1.9,1.9,20,,
73,Marques Tuiasosopo,OAK,22,,1,0,,3,4,75,34,0,0,0,0,1,15,8.5,8.5,11.3,34,100,0,0,8.5,8.5,0,,
74,Jerome Bettis*,PIT,29,RB,11,11,,1,2,50,32,1,50,0,0,1,32,16,26,32,2.9,135.4,0,0,16,26,0,,
75,Kevin Lockett,WAS,27,,16,0,,1,1,100,31,1,100,0,0,1,31,31,51,31,1.9,158.3,0,0,31,51,0,,
76,Randy Moss,MIN,24,WR,16,16,,1,1,100,29,0,0,0,0,1,29,29,29,29,1.8,118.7,0,0,29,29,0,,
77,Brad Maynard,CHI,27,,16,0,,1,1,100,27,1,100,0,0,1,27,27,47,27,1.7,158.3,0,0,27,47,0,,
78,Kevin Faulk,NWE,25,,15,1,,1,1,100,23,0,0,0,0,1,23,23,23,23,1.5,118.7,0,0,23,23,0,,
79,Doug Johnson,ATL,24,,3,0,,3,5,60,23,1,20,0,0,3,14,4.6,8.6,7.7,7.7,110.8,2,13,1.43,4.29,28.6,1,1
80,Jamie Martin,STL,31,,5,0,,3,3,100,22,0,0,0,0,2,10,7.3,7.3,7.3,4.4,97.2,2,7,3,3,40,,
81,Tim Rattay,SFO,24,,3,0,,2,2,100,21,0,0,0,0,1,20,10.5,10.5,10.5,7,110.4,0,0,10.5,10.5,0,,
82,Frank Wycheck,TEN,30,TE,16,16,,1,1,100,21,0,0,0,0,1,21,21,21,21,1.3,118.7,0,0,21,21,0,,
83,Leon Johnson,CHI,27,,12,0,,1,1,100,18,0,0,0,0,1,18,18,18,18,1.5,118.7,0,0,18,18,0,,
84,Curtis Martin*,NYJ,28,RB,16,16,,1,1,100,18,1,100,0,0,1,18,18,38,18,1.1,158.3,0,0,18,38,0,,
85,Deuce McAllister,NOR,23,,16,4,,1,2,50,12,1,50,0,0,1,12,6,16,12,0.8,108.3,0,0,6,16,0,,
86,Tom Tupa,NYJ,35,,15,0,,1,1,100,9,0,0,0,0,1,9,9,9,9,0.6,104.2,0,0,9,9,0,,
87,Mark Royals,TAM,36,,16,0,,1,1,100,5,0,0,0,0,0,5,5,5,5,0.3,87.5,0,0,5,5,0,,
88,Mitch Berger,MIN,29,,12,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
89,Jeff Blake,NOR,31,,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
90,Corey Dillon*,CIN,27,RB,16,16,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,-45,0,,
