Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Jeff George,OAK,30,QB,16,16,4/12/00,290,521,55.7,3917,29,5.6,9,1.7,163,76,7.5,7.9,13.5,244.8,91.2,58,430,6.02,6.32,10,0,1
2,Brett Favre*+,GNB,28,QB,16,16,13-3-0,304,513,59.3,3867,35,6.8,16,3.1,189,74,7.5,7.5,12.7,241.7,92.6,25,176,6.86,6.82,4.6,,
3,Dan Marino,MIA,36,QB,16,16,9/7/00,319,548,58.2,3780,16,2.9,11,2,188,55,6.9,6.6,11.8,236.3,80.7,20,132,6.42,6.11,3.5,1,3
4,Drew Bledsoe*,NWE,25,QB,16,16,10/6/00,314,522,60.2,3706,28,5.4,15,2.9,167,76,7.1,6.9,11.8,231.6,87.7,30,258,6.25,6.04,5.4,0,1
5,Warren Moon*,SEA,41,QB,15,14,7/7/00,313,528,59.3,3678,25,4.7,16,3,178,60,7,6.5,11.8,245.2,83.7,30,192,6.25,5.85,5.4,3,4
6,John Elway*,DEN,37,QB,16,16,12/4/00,280,502,55.8,3635,27,5.4,11,2.2,166,78,7.2,7.3,13,227.2,87.5,34,203,6.4,6.49,6.3,0,2
7,Scott Mitchell,DET,29,QB,16,16,9/7/00,293,509,57.6,3484,19,3.7,14,2.8,157,79,6.8,6.4,11.9,217.8,79.6,41,271,5.84,5.39,7.5,3,3
8,Troy Aikman,DAL,31,QB,16,16,6/10/00,292,518,56.4,3283,19,3.7,12,2.3,160,64,6.3,6,11.2,205.2,78,33,269,5.47,5.18,6,3,3
9,Mark Brunell*,JAX,27,QB,14,14,9/5/00,264,435,60.7,3281,18,4.1,7,1.6,160,75,7.5,7.6,12.4,234.4,91.2,33,189,6.61,6.7,7.1,1,1
10,Tony Banks,STL,24,QB,16,16,5/11/00,252,487,51.7,3254,14,2.9,13,2.7,152,76,6.7,6.1,12.9,203.4,71.5,43,317,5.54,4.97,8.1,1,2
11,Brad Johnson,MIN,29,QB,13,13,8/5/00,275,452,60.8,3036,20,4.4,12,2.7,151,56,6.7,6.4,11,233.5,84.5,26,164,6.01,5.72,5.4,3,4
