Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
12,Steve Young*,SFO,36,QB,15,15,12/3/00,241,356,67.7,3029,19,5.3,6,1.7,148,82,8.5,8.8,12.6,201.9,104.7,35,220,7.18,7.47,9,1,1
13,Kordell Stewart,PIT,25,QB,16,16,11/5/00,236,440,53.6,3020,21,4.8,17,3.9,139,69,6.9,6.1,12.8,188.8,75.2,20,152,6.23,5.48,4.3,4,5
14,Erik Kramer,CHI,33,QB,15,13,4/9/00,275,477,57.7,3011,14,2.9,14,2.9,156,78,6.3,5.6,10.9,200.7,74,25,149,5.7,5,5,1,1
15,Vinny Testaverde,BAL,34,QB,13,13,4/8/01,271,470,57.7,2971,18,3.8,15,3.2,134,54,6.3,5.7,11,228.5,75.9,20,129,5.8,5.16,4.1,1,1
16,Neil O'Donnell,NYJ,31,QB,15,14,8/6/00,259,460,56.3,2796,17,3.7,7,1.5,131,70,6.1,6.1,10.8,186.4,80.3,45,289,4.96,5.01,8.9,0,0
17,Chris Chandler*,ATL,32,QB,14,14,7/7/00,202,342,59.1,2692,20,5.8,7,2,126,56,7.9,8.1,13.3,192.3,95.1,39,261,6.38,6.6,10.2,1,3
18,Gus Frerotte,WAS,26,QB,13,13,6/6/01,204,402,50.7,2682,17,4.2,12,3,139,52,6.7,6.2,13.1,206.3,73.8,23,146,5.97,5.5,5.4,0,2
19,Steve McNair,TEN,24,QB,16,16,8/8/00,216,415,52,2665,14,3.4,13,3.1,134,55,6.4,5.7,12.3,166.6,70.4,31,190,5.55,4.87,7,1,1
20,Trent Dilfer*,TAM,25,QB,16,16,10/6/00,217,386,56.2,2555,21,5.4,11,2.8,133,59,6.6,6.4,11.8,159.7,82.8,32,196,5.64,5.46,7.7,3,3
21,Todd Collins,BUF,26,QB,14,13,5/8/00,215,391,55,2367,12,3.1,13,3.3,106,77,6.1,5.2,11,169.1,69.5,39,278,4.86,4.06,9.1,2,4
22,Jake Plummer,ARI,23,QB,10,9,3/6/00,157,296,53,2203,15,5.1,15,5.1,102,70,7.4,6.2,14,220.3,73.1,52,291,5.49,4.42,14.9,2,2
23,Jeff Blake,CIN,27,QB,11,11,3/8/00,184,317,58,2125,8,2.5,7,2.2,98,50,6.7,6.2,11.5,193.2,77.6,39,244,5.28,4.85,11,1,1
24,Kerry Collins,CAR,25,QB,13,13,6/7/00,200,381,52.5,2124,11,2.9,21,5.5,117,59,5.6,3.7,10.6,163.4,55.7,27,200,4.72,2.94,6.6,,
25,Jim Harbaugh,IND,34,QB,12,11,2/9/00,189,309,61.2,2060,10,3.2,4,1.3,101,58,6.7,6.7,10.9,171.7,86.2,41,256,5.15,5.21,11.7,,
26,Elvis Grbac,KAN,27,QB,10,10,8/2/00,179,314,57,1943,11,3.5,6,1.9,101,55,6.2,6,10.9,194.3,79.1,19,150,5.38,5.23,5.7,2,3
27,Danny Kanell,NYG,24,QB,16,10,7/2/01,156,294,53.1,1740,11,3.7,9,3.1,75,68,5.9,5.3,11.2,108.8,70.7,19,171,5.01,4.42,6.1,1,3
28,Bobby Hoying,PHI,25,qb,7,6,2/3/01,128,225,56.9,1573,11,4.9,6,2.7,77,72,7,6.8,12.3,224.7,83.8,28,183,5.49,5.3,11.1,2,1
29,Ty Detmer,PHI,30,QB,8,7,2/5/00,134,244,54.9,1567,7,2.9,6,2.5,79,57,6.4,5.9,11.7,195.9,73.9,19,94,5.6,5.11,7.2,1,1
30,Stan Humphries,SDG,32,QB,8,8,3/5/00,121,225,53.8,1488,5,2.2,6,2.7,71,72,6.6,5.9,12.3,186,70.8,18,144,5.53,4.83,7.4,,
31,Boomer Esiason,CIN,36,qb,7,5,4/1/00,118,186,63.4,1478,13,7,2,1.1,76,77,7.9,8.9,12.5,211.1,106.9,7,43,7.44,8.32,3.6,,
32,Kent Graham,ARI,29,qb,8,6,1/5/00,130,250,52,1408,4,1.6,5,2,68,47,5.6,5.1,10.8,176,65.9,16,115,4.86,4.32,6,2,2
33,Craig Whelihan,SDG,26,qb,9,7,0-7-0,118,237,49.8,1357,6,2.5,10,4.2,64,61,5.7,4.3,11.5,150.8,58.3,21,168,4.61,3.33,8.1,,
34,Heath Shuler,NOR,26,QB,10,9,4/5/00,106,203,52.2,1288,2,1,14,6.9,54,89,6.3,3.4,12.2,128.8,46.6,21,132,5.16,2.53,9.4,3,2
35,Rich Gannon,KAN,32,qb,9,6,5/1/00,98,175,56,1144,7,4,4,2.3,58,47,6.5,6.3,11.7,127.1,79.8,13,86,5.63,5.41,6.9,1,1
36,Paul Justin,IND,29,,8,4,1/3/00,83,140,59.3,1046,5,3.6,5,3.6,50,44,7.5,6.6,12.6,130.8,79.6,10,86,6.4,5.57,6.7,1,1
37,Steve Beuerlein,CAR,32,qb,7,3,1/2/00,89,153,58.2,1032,6,3.9,3,2,52,52,6.7,6.6,11.6,147.4,83.6,17,111,5.42,5.33,10,1,1
38,Billy Joe Hobert,2TM,26,,7,4,2/2/00,78,161,48.4,1024,6,3.7,10,6.2,0,49,6.4,4.3,13.1,146.3,55.5,6,36,5.92,3.94,3.6,0,2
39,Dave Brown,NYG,27,qb,7,6,3/3/00,93,180,51.7,1023,5,2.8,3,1.7,47,62,5.7,5.5,11,146.1,71.1,13,67,4.95,4.77,6.7,,
40,Eric Zeier,BAL,25,,5,3,2/1/00,67,116,57.8,958,7,6,1,0.9,36,92,8.3,9.1,14.3,191.6,101.1,17,98,6.47,7.18,12.8,0,1
41,Jeff Hostetler,WAS,36,,6,3,2/1/00,79,144,54.9,899,5,3.5,10,6.9,50,69,6.2,3.8,11.4,149.8,56.5,10,52,5.5,3.23,6.5,,
42,Rodney Peete,PHI,31,,5,3,2/1/00,68,118,57.6,869,4,3.4,4,3.4,44,38,7.4,6.5,12.8,173.8,78,17,85,5.81,5.07,12.6,2,2
43,Glenn Foley,NYJ,27,,6,2,1/1/00,56,97,57.7,705,3,3.1,1,1,36,35,7.3,7.4,12.6,117.5,86.5,3,24,6.81,6.96,3,1,2
44,Alex Van Pelt,BUF,27,,6,3,1/2/00,60,124,48.4,684,2,1.6,10,8.1,30,39,5.5,2.2,11.4,114,37.2,4,33,5.09,1.88,3.1,0,1
45,Billy Joe Tolliver,2TM,31,,9,1,0-1-0,64,116,55.2,677,5,4.3,1,0.9,0,47,5.8,6.3,10.6,75.2,83.2,14,104,4.41,4.83,10.8,,
46,Danny Wuerffel,NOR,23,,7,2,0-2-0,42,91,46.2,518,4,4.4,8,8.8,20,47,5.7,2.6,12.3,74,42.3,18,116,3.69,1.12,16.5,,
47,Randall Cunningham,MIN,34,,6,3,1/2/00,44,88,50,501,6,6.8,4,4.5,27,34,5.7,5,11.4,83.5,71.3,7,60,4.64,4.01,7.4,,
48,Jim Everett,SDG,34,,4,1,1-0-0,36,75,48,457,1,1.3,4,5.3,18,62,6.1,4,12.7,114.3,49.7,4,30,5.41,3.38,5.1,,
49,Kelly Holcomb,IND,24,,5,1,0-1-0,45,73,61.6,454,1,1.4,8,11,20,41,6.2,1.6,10.1,90.8,44.3,11,76,4.5,0.45,13.1,,
50,Rick Mirer,CHI,27,,7,3,0-3-0,53,103,51.5,420,0,0,6,5.8,23,34,4.1,1.5,7.9,60,37.7,16,89,2.78,0.51,13.4,1,1
51,Jon Kitna,SEA,25,,3,1,1-0-0,31,45,68.9,371,1,2.2,2,4.4,19,61,8.2,6.7,12,123.7,82.7,3,10,7.52,6.06,6.3,1,1
52,Rob Johnson,JAX,24,,5,1,1-0-0,22,28,78.6,344,2,7.1,2,7.1,12,40,12.3,10.5,15.6,68.8,111.9,6,29,9.26,7.79,17.6,1,1
53,Stoney Case,ARI,25,,3,1,0-1-0,29,55,52.7,316,0,0,2,3.6,16,30,5.7,4.1,10.9,105.3,54.8,10,89,3.49,2.11,15.4,,
54,Steve Matthews,JAX,27,,2,1,1-0-0,26,40,65,275,0,0,0,0,15,43,6.9,6.9,10.6,137.5,84.9,1,0,6.71,6.71,2.4,,
55,Mark Rypien,STL,35,,5,0,,19,39,48.7,270,0,0,2,5.1,8,62,6.9,4.6,14.2,54,50.2,1,9,6.53,4.28,2.5,,
56,Jim Druckenmiller,SFO,25,,4,1,1-0-0,21,52,40.4,239,1,1.9,4,7.7,10,33,4.6,1.5,11.4,59.8,29.2,4,32,3.7,0.84,7.1,1,1
57,Mike Tomczak,PIT,35,,16,0,,16,24,66.7,185,1,4.2,2,8.3,13,28,7.7,4.8,11.6,11.6,68.9,0,0,7.71,4.79,0,,
58,Doug Nussmeier,NOR,27,,3,1,0-1-0,18,32,56.3,183,0,0,3,9.4,8,24,5.7,1.5,10.2,61,33.7,6,32,3.97,0.42,15.8,,
59,Todd Philcox,SDG,31,,2,0,,16,28,57.1,173,0,0,1,3.6,8,29,6.2,4.6,10.8,86.5,60.6,8,44,3.58,2.33,22.2,,
60,Craig Erickson,MIA,28,,2,0,,13,28,46.4,165,0,0,1,3.6,9,27,5.9,4.3,12.7,82.5,50.4,2,21,4.8,3.3,6.7,,
61,Jeff Brohm,SFO,26,,5,0,,16,24,66.7,164,0,0,1,4.2,10,21,6.8,5,10.3,32.8,68.8,5,37,4.38,2.83,17.2,,
62,John Friesz,SEA,30,,2,1,0-1-0,15,36,41.7,138,0,0,3,8.3,8,22,3.8,0.1,9.2,69,18.1,2,11,3.34,-0.21,5.3,,
63,Frank Reich,DET,36,,6,0,,11,30,36.7,121,0,0,2,6.7,6,27,4,1,11,20.2,21.7,0,0,4.03,1.03,0,,
64,Wade Wilson,DAL,38,,7,0,,12,21,57.1,115,0,0,0,0,4,32,5.5,5.5,9.6,16.4,72.5,4,26,3.56,3.56,16,,
65,Steve Stenstrom,CHI,26,,3,0,,8,14,57.1,70,0,0,2,14.3,5,18,5,-1.4,8.8,23.3,31,2,19,3.19,-2.44,12.5,,
66,Scott Zolak,NWE,30,,4,0,,6,9,66.7,67,2,22.2,0,0,4,20,7.4,11.9,11.2,16.8,128.2,0,0,7.44,11.89,0,,
67,Steve Walsh,TAM,31,,12,0,,6,17,35.3,58,0,0,1,5.9,1,38,3.4,0.8,9.7,4.8,21.2,0,0,3.41,0.76,0,,
68,Jason Garrett,DAL,31,,1,0,,10,14,71.4,56,0,0,0,0,3,12,4,4,5.6,56,78.3,2,18,2.38,2.38,12.5,,
69,Bubby Brister,DEN,35,,1,0,,6,9,66.7,48,0,0,0,0,2,15,5.3,5.3,8,48,79.9,0,0,5.33,5.33,0,,
70,Tony Graziani,ATL,24,,3,1,0-1-0,7,23,30.4,41,0,0,2,8.7,3,13,1.8,-2.1,5.9,13.7,3.7,1,7,1.42,-2.33,4.2,,
71,Louie Aguiar,KAN,31,,16,0,,1,1,100,35,0,0,0,0,1,35,35,35,35,2.2,118.7,0,0,35,35,0,,
72,Dave Meggett,NWE,31,,16,2,,1,1,100,35,1,100,0,0,0,35,35,55,35,2.2,158.3,0,0,35,55,0,,
73,Steve Bono,GNB,35,,2,0,,5,10,50,29,0,0,0,0,1,14,2.9,2.9,5.8,14.5,56.2,1,15,1.27,1.27,9.1,,
74,Chris Mohr,BUF,31,,16,0,,1,1,100,29,0,0,0,0,1,29,29,29,29,1.8,118.7,0,0,29,29,0,,
75,Ray Lucas,NYJ,25,,5,0,,3,4,75,28,0,0,1,25,2,19,7,-4.3,9.3,5.6,54.2,0,0,7,-4.25,0,,
76,Jamal Anderson,ATL,25,RB,16,15,,1,4,25,27,1,25,1,25,1,27,6.8,0.5,27,1.7,55.2,0,0,6.75,0.5,0,,
77,David Klingler,OAK,28,,1,0,,4,7,57.1,27,0,0,1,14.3,3,8,3.9,-2.6,6.8,27,26.2,0,0,3.86,-2.57,0,,
78,Brian Hansen,NYJ,37,,15,0,,1,1,100,26,0,0,0,0,1,26,26,26,26,1.7,118.7,0,0,26,26,0,,
79,Frank Sanders,ARI,24,WR,16,16,,1,1,100,26,0,0,0,0,1,26,26,26,26,1.6,118.7,0,0,26,26,0,,
80,Tommy Barnhardt,TAM,34,,6,0,,1,1,100,25,0,0,0,0,1,25,25,25,25,4.2,118.7,0,0,25,25,0,,
81,Bryan Barker*+,JAX,33,,16,0,,1,1,100,22,0,0,0,0,1,22,22,22,22,1.4,118.7,0,0,22,22,0,,
82,Willie Davis,TEN,30,WR,16,15,,1,1,100,22,1,100,0,0,1,22,22,42,22,1.4,158.3,0,0,22,42,0,,
83,Mario Bates,NOR,24,RB,12,7,,1,1,100,21,1,100,0,0,1,21,21,41,21,1.8,158.3,0,0,21,41,0,,
84,Jeff Lewis,DEN,24,,3,0,,1,2,50,21,0,0,0,0,1,21,10.5,10.5,21,7,87.5,1,7,4.67,4.67,33.3,,
85,Marcus Allen,KAN,37,,16,0,,2,2,100,15,2,100,0,0,2,14,7.5,27.5,7.5,0.9,137.5,0,0,7.5,27.5,0,,
86,James Ritchey,TEN,24,,1,0,,2,2,100,15,0,0,0,0,1,11,7.5,7.5,7.5,15,97.9,1,9,2,2,33.3,,
87,Mike Quinn,PIT,23,,1,0,,1,2,50,10,0,0,0,0,1,10,5,5,10,10,64.6,0,0,5,5,0,,
88,Dave Krieg,TEN,39,,8,0,,1,2,50,2,0,0,0,0,0,2,1,1,2,0.3,56.2,0,0,1,1,0,,
89,Matt Blundin,DET,28,,1,0,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,-45,0,,
90,Ki-Jana Carter,CIN,24,rb,15,10,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
91,Curtis Conway,CHI,26,wr,7,7,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
92,Trent Green,WAS,27,,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
93,Leon Johnson,NYJ,23,,16,1,,0,2,0,0,0,0,1,50,0,0,0,-22.5,,0,0,0,0,0,-22.5,0,,
94,Napoleon Kaufman,OAK,24,RB,16,16,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
95,Lamont Warren,IND,24,,13,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
