Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Ben Roethlisberger,PIT,36,QB,16,16,9/6/01,452,675,67,5129,34,5,16,2.4,248,97,7.6,7.5,11.3,320.6,96.5,69.6,24,166,7.1,7.04,3.4,2,3
2,Patrick Mahomes*+,KAN,23,QB,16,16,12/4/00,383,580,66,5097,50,8.6,12,2.1,262,89,8.8,9.6,13.3,318.6,113.8,80.3,26,171,8.13,8.89,4.3,2,2
3,Matt Ryan,ATL,33,QB,16,16,7/9/00,422,608,69.4,4924,35,5.8,7,1.2,236,75,8.1,8.7,11.7,307.8,108.1,65.7,42,296,7.12,7.71,6.5,1,1
4,Jared Goff*,LAR,24,QB,16,16,13-3-0,364,561,64.9,4688,32,5.7,12,2.1,268,70,8.4,8.5,12.9,293,101.1,63.6,33,223,7.52,7.69,5.6,4,4
5,Andrew Luck*,IND,29,QB,16,16,10/6/00,430,639,67.3,4593,39,6.1,15,2.3,260,68,7.2,7.4,10.7,287.1,98.7,69.6,18,134,6.79,6.95,2.7,3,3
6,Aaron Rodgers*,GNB,35,QB,16,16,6/9/01,372,597,62.3,4442,25,4.2,2,0.3,200,75,7.4,8.1,11.9,277.6,97.6,58,49,353,6.33,6.96,7.6,3,3
7,Tom Brady*,NWE,41,QB,16,16,11/5/00,375,570,65.8,4355,29,5.1,11,1.9,255,63,7.6,7.8,11.6,272.2,97.7,68.4,21,147,7.12,7.26,3.6,1,2
8,Philip Rivers*,LAC,37,QB,16,16,12/4/00,347,508,68.3,4308,32,6.3,12,2.4,235,75,8.5,8.7,12.4,269.3,105.5,67.8,32,204,7.6,7.79,5.9,3,3
9,Eli Manning,NYG,37,QB,16,16,5/11/00,380,576,66,4299,21,3.6,11,1.9,205,58,7.5,7.3,11.3,268.7,92.4,49.1,47,358,6.33,6.21,7.5,1,2
10,Kirk Cousins,MIN,30,QB,16,16,8/7/01,425,606,70.1,4298,30,5,10,1.7,218,75,7.1,7.3,10.1,268.6,99.7,59.5,40,262,6.25,6.48,6.2,1,0
11,Deshaun Watson*,HOU,23,QB,16,16,11/5/00,345,505,68.3,4165,26,5.1,9,1.8,215,73,8.2,8.5,12.1,260.3,103.1,61.8,62,384,6.67,6.87,10.9,5,5
12,Derek Carr,OAK,27,QB,16,16,4/12/00,381,553,68.9,4049,19,3.4,10,1.8,197,66,7.3,7.2,10.6,253.1,93.9,46.5,51,299,6.21,6.09,8.4,3,3
13,Drew Brees*,NOR,39,QB,15,15,13-2-0,364,489,74.4,3992,32,6.5,5,1,223,72,8.2,9,11,266.1,115.7,79.2,17,121,7.65,8.47,3.4,6,7
14,Case Keenum,DEN,30,QB,16,16,6/10/00,365,586,62.3,3890,18,3.1,15,2.6,179,64,6.6,6.1,10.7,243.1,81.2,44.5,34,235,5.9,5.39,5.5,3,4
15,Dak Prescott*,DAL,25,QB,16,16,10/6/00,356,526,67.7,3885,22,4.2,8,1.5,206,90,7.4,7.5,10.9,242.8,96.9,55.2,56,347,6.08,6.22,9.6,3,5
16,Matthew Stafford,DET,30,QB,16,16,6/10/00,367,555,66.1,3777,21,3.8,11,2,197,67,6.8,6.7,10.3,236.1,89.9,51.3,40,255,5.92,5.79,6.7,0,1
17,Baker Mayfield,CLE,23,QB,14,13,6/7/00,310,486,63.8,3725,27,5.6,14,2.9,171,71,7.7,7.5,12,266.1,93.7,51.2,25,173,6.95,6.77,4.9,3,4
18,Russell Wilson*,SEA,30,QB,16,16,10/6/00,280,427,65.6,3448,35,8.2,7,1.6,162,66,8.1,9,12.3,215.5,110.9,63.3,51,355,6.47,7.28,10.7,2,4
19,Cam Newton,CAR,29,QB,14,14,6/8/00,320,471,67.9,3395,24,5.1,13,2.8,180,82,7.2,7,10.6,242.5,94.2,53.2,29,213,6.36,6.15,5.8,2,2
