Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Mark Brunell*,JAX,26,QB,16,16,9/7/00,353,557,63.4,4367,19,3.4,20,3.6,204,62,7.8,6.9,12.4,272.9,84,50,257,6.77,5.91,8.2,3,3
2,Vinny Testaverde*,BAL,33,QB,16,16,4/12/00,325,549,59.2,4177,33,6,19,3.5,197,86,7.6,7.3,12.9,261.1,88.7,34,270,6.7,6.37,5.8,2,3
3,Drew Bledsoe*,NWE,24,QB,16,16,11/5/00,373,623,59.9,4086,27,4.3,15,2.4,199,84,6.6,6.3,11,255.4,83.7,30,190,5.97,5.76,4.6,3,4
4,Brett Favre*+,GNB,27,QB,16,16,13-3-0,325,543,59.9,3899,39,7.2,13,2.4,194,80,7.2,7.5,12,243.7,95.8,40,241,6.27,6.61,6.9,1,1
5,Jeff Blake,CIN,26,QB,16,16,8/8/00,308,549,56.1,3624,24,4.4,14,2.6,184,61,6.6,6.3,11.8,226.5,80.3,44,278,5.64,5.39,7.4,3,5
6,Gus Frerotte*,WAS,25,QB,16,16,9/7/00,270,470,57.4,3453,12,2.6,11,2.3,171,52,7.3,6.8,12.8,215.8,79.3,22,134,6.75,6.23,4.5,,
7,John Elway*,DEN,36,QB,15,15,13-2-0,287,466,61.6,3328,26,5.6,14,3,164,51,7.1,6.9,11.6,221.9,89.2,26,194,6.37,6.15,5.3,4,4
8,Bobby Hebert,ATL,36,QB,14,13,3/10/00,294,488,60.2,3152,22,4.5,25,5.1,165,57,6.5,5.1,10.7,225.1,72.9,27,150,5.83,4.5,5.2,,
9,Troy Aikman*,DAL,30,QB,15,15,10/5/00,296,465,63.7,3126,12,2.6,13,2.8,153,61,6.7,6,10.6,208.4,80.1,18,120,6.22,5.51,3.7,2,2
10,Scott Mitchell,DET,28,QB,14,14,4/10/00,253,437,57.9,2917,17,3.9,17,3.9,149,62,6.7,5.7,11.5,208.4,74.9,36,199,5.75,4.85,7.6,,
11,Ty Detmer,PHI,29,QB,13,11,7/4/00,238,401,59.4,2911,15,3.7,13,3.2,144,42,7.3,6.5,12.2,223.9,80.8,27,171,6.4,5.74,6.3,2,3
12,Trent Dilfer,TAM,24,QB,16,16,6/10/00,267,482,55.4,2859,12,2.5,19,3.9,149,45,5.9,4.7,10.7,178.7,64.8,28,207,5.2,3.99,5.5,3,3
13,Jim Kelly,BUF,36,QB,13,13,8/5/00,222,379,58.6,2810,14,3.7,19,5,123,67,7.4,5.9,12.7,216.2,73.2,37,287,6.06,4.68,8.9,3,4
14,Jim Everett,NOR,33,QB,15,15,3/12/00,267,464,57.5,2797,12,2.6,16,3.4,124,51,6,5,10.5,186.5,69.4,19,154,5.47,4.48,3.9,2,2
15,Dan Marino,MIA,35,QB,13,13,7/6/00,221,373,59.2,2795,17,4.6,9,2.4,121,74,7.5,7.3,12.6,215,87.8,18,131,6.81,6.65,4.6,0,1
16,Mike Tomczak,PIT,34,QB,16,15,10/5/00,222,401,55.4,2767,15,3.7,17,4.2,135,70,6.9,5.7,12.5,172.9,71.8,16,105,6.38,5.27,3.8,0,2
17,Stan Humphries,SDG,31,QB,13,13,7/6/00,232,416,55.8,2670,18,4.3,13,3.1,132,63,6.4,5.9,11.5,205.4,76.7,20,187,5.69,5.18,4.6,0,1
18,Jim Harbaugh,IND,33,QB,14,14,7/7/00,232,405,57.3,2630,13,3.2,11,2.7,127,51,6.5,5.9,11.3,187.9,76.3,36,190,5.53,5,8.2,2,2
19,Steve Bono,KAN,34,QB,14,13,8/5/00,235,438,53.7,2572,12,2.7,13,3,133,69,5.9,5.1,10.9,183.7,68,22,161,5.24,4.49,4.8,1,1
20,Jeff Hostetler,OAK,35,QB,13,13,7/6/00,242,402,60.2,2548,23,5.7,14,3.5,129,62,6.3,5.9,10.5,196,83.2,32,181,5.45,5.06,7.4,,
21,Tony Banks,STL,23,QB,14,13,5/8/00,192,368,52.2,2544,15,4.1,15,4.1,106,77,6.9,5.9,13.3,181.7,71,48,306,5.38,4.48,11.5,,
22,Kerry Collins*,CAR,24,QB,13,12,9/3/00,204,364,56,2454,14,3.8,9,2.5,116,55,6.7,6.4,12,188.8,79.4,18,114,6.13,5.8,4.7,1,1
23,Dave Brown,NYG,26,QB,16,16,6/10/00,214,398,53.8,2412,12,3,20,5,131,37,6.1,4.4,11.3,150.8,61.3,49,276,4.78,3.3,11,,
24,Steve Young*,SFO,35,QB,12,12,9/3/00,214,316,67.7,2410,14,4.4,6,1.9,125,52,7.6,7.7,11.3,200.8,97.2,34,160,6.43,6.46,9.7,2,2
25,Boomer Esiason,ARI,35,QB,10,8,3/5/00,190,339,56,2293,11,3.2,14,4.1,117,64,6.8,5.6,12.1,229.3,70.6,17,109,6.13,4.98,4.8,2,2
26,Dave Krieg,CHI,38,QB,13,12,6/6/00,226,377,59.9,2278,14,3.7,12,3.2,126,53,6,5.4,10.1,175.2,76.3,14,104,5.56,4.9,3.6,1,1
27,Brad Johnson,MIN,28,qb,12,8,5/3/00,195,311,62.7,2258,17,5.5,10,3.2,109,82,7.3,6.9,11.6,188.2,89.4,15,119,6.56,6.22,4.6,2,3
28,Frank Reich,NYJ,35,QB,10,7,1/6/00,175,331,52.9,2205,15,4.5,16,4.8,110,52,6.7,5.4,12.6,220.5,68.9,14,94,6.12,4.9,4.1,,
29,Chris Chandler,HOU,31,QB,12,12,6/6/00,184,320,57.5,2099,16,5,11,3.4,108,63,6.6,6,11.4,174.9,79.7,25,153,5.64,5.13,7.2,2,2
30,John Friesz,SEA,29,qb,8,6,4/2/00,120,211,56.9,1629,8,3.8,4,1.9,71,80,7.7,7.6,13.6,203.6,86.4,12,77,6.96,6.87,5.4,2,1
31,Kent Graham,ARI,28,qb,10,8,4/4/00,146,274,53.3,1624,12,4.4,7,2.6,96,69,5.9,5.7,11.1,162.4,75.1,19,120,5.13,4.88,6.5,2,2
32,Warren Moon,MIN,40,QB,8,8,4/4/00,134,247,54.3,1610,7,2.8,9,3.6,74,54,6.5,5.4,12,201.3,68.7,19,122,5.59,4.6,7.1,1,2
33,Rick Mirer,SEA,26,QB,11,9,2/7/00,136,265,51.3,1546,5,1.9,12,4.5,72,60,5.8,4.2,11.4,140.5,56.6,22,84,5.09,3.56,7.7,1,1
34,Elvis Grbac,SFO,26,qb,15,4,3/1/00,122,197,61.9,1236,8,4.1,10,5.1,55,40,6.3,4.8,10.1,82.4,72.2,6,30,5.94,4.51,3,,
35,Steve McNair,HOU,23,,9,4,2/2/00,88,143,61.5,1197,6,4.2,4,2.8,47,83,8.4,8,13.6,133,90.6,9,45,7.58,7.18,5.9,,
