Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
36,Neil O'Donnell,NYJ,30,qb,6,6,0-6-0,110,188,58.5,1147,4,2.1,7,3.7,54,78,6.1,4.9,10.4,191.2,67.8,18,127,4.95,3.81,8.7,,
37,Rodney Peete,PHI,30,qb,5,5,3/2/00,80,134,59.7,992,3,2.2,5,3.7,48,62,7.4,6.2,12.4,198.4,74.6,11,53,6.48,5.34,7.6,,
38,Sean Salisbury,SDG,33,qb,16,3,1/2/00,82,161,50.9,984,5,3.1,8,5,38,56,6.1,4.5,12,61.5,59.6,13,109,5.03,3.53,7.5,,
39,Steve Beuerlein,CAR,31,,8,4,3/1/00,69,123,56.1,879,8,6.5,2,1.6,42,40,7.1,7.7,12.7,109.9,93.5,18,136,5.27,5.77,12.8,1,1
40,Paul Justin,IND,28,,8,2,2-0-0,74,127,58.3,839,2,1.6,0,0,36,38,6.6,6.9,11.3,104.9,83.4,7,58,5.83,6.13,5.2,1,1
41,Erik Kramer,CHI,32,qb,4,4,1/3/00,73,150,48.7,781,3,2,6,4,36,58,5.2,3.8,10.7,195.3,54.3,7,53,4.64,3.3,4.5,,
42,Craig Erickson,MIA,27,,7,3,1/2/00,55,99,55.6,780,4,4,2,2,33,61,7.9,7.8,14.2,111.4,86.3,11,72,6.44,6.35,10,,
43,Todd Collins,BUF,25,,7,3,2/1/00,55,99,55.6,739,4,4,5,5.1,27,95,7.5,6,13.4,105.6,71.9,11,53,6.24,4.92,10,1,1
44,Jeff George,ATL,29,,3,3,0-3-0,56,99,56.6,698,3,3,3,3,30,67,7.1,6.3,12.5,232.7,76.1,11,84,5.58,4.9,10,,
45,Billy Joe Hobert,OAK,25,,8,3,0-3-0,57,104,54.8,667,4,3.8,5,4.8,0,51,6.4,5,11.7,83.4,67.3,9,52,5.44,4.16,8,,
46,Glenn Foley,NYJ,26,,5,3,0-3-0,54,110,49.1,559,3,2.7,7,6.4,26,46,5.1,2.8,10.4,111.8,46.7,9,65,4.15,2.01,7.6,,
47,Don Majkowski,DET,32,,5,2,1/1/00,55,102,53.9,554,3,2.9,3,2.9,29,27,5.4,4.7,10.1,110.8,67.2,10,61,4.4,3.73,8.9,1,1
48,Rich Gannon,KAN,31,,4,3,1/2/00,54,90,60,491,6,6.7,1,1.1,31,25,5.5,6.3,9.1,122.8,92.4,5,42,4.73,5.52,5.3,1,1
49,Steve Walsh,STL,30,,3,3,1/2/00,33,77,42.9,344,0,0,5,6.5,18,32,4.5,1.5,10.4,114.7,29.4,4,27,3.91,1.14,4.9,1,1
50,Bill Musgrave,DEN,29,,6,1,0-1-0,31,52,59.6,276,0,0,2,3.8,12,46,5.3,3.6,8.9,46,57.9,4,32,4.36,2.75,7.1,,
51,Doug Nussmeier,NOR,26,,2,1,0-1-0,28,50,56,272,1,2,1,2,12,57,5.4,4.9,9.7,136,69.7,3,17,4.81,4.34,5.7,,
52,Jamie Martin,STL,26,,6,0,,23,34,67.6,241,3,8.8,2,5.9,13,22,7.1,6.2,10.5,40.2,92.9,4,34,5.45,4.66,10.5,1,1
53,Danny Kanell,NYG,23,,4,0,,23,60,38.3,227,1,1.7,1,1.7,12,25,3.8,3.4,9.9,56.8,48.4,7,48,2.67,2.3,10.4,,
54,Bernie Kosar,MIA,33,,3,0,,24,32,75,208,1,3.1,0,0,10,20,6.5,7.1,8.7,69.3,102.1,6,34,4.58,5.11,15.8,,
55,Jeff Brohm,SFO,25,,3,0,,21,34,61.8,189,1,2.9,0,0,8,49,5.6,6.1,9,63,86.5,2,10,4.97,5.53,5.6,1,1
56,Shane Matthews,CHI,26,,2,0,,13,17,76.5,158,1,5.9,0,0,8,26,9.3,10.5,12.2,79,124.1,1,3,8.61,9.72,5.6,,
57,Jim Miller,PIT,25,,2,1,0-1-0,13,25,52,123,0,0,0,0,6,17,4.9,4.9,9.5,61.5,65.9,2,7,4.3,4.3,7.4,,
58,Kordell Stewart,PIT,24,,16,2,,11,30,36.7,100,0,0,2,6.7,4,15,3.3,0.3,9.1,6.3,18.8,3,37,1.91,-0.82,9.1,0,2
59,Eric Zeier,BAL,24,,1,0,,10,21,47.6,97,1,4.8,1,4.8,7,15,4.6,3.4,9.7,97,57,4,26,2.84,1.84,16,,
60,Erik Wilhelm,CIN,31,,3,0,,7,13,53.8,90,1,7.7,2,15.4,5,38,6.9,1.5,12.9,30,61.9,3,16,4.63,0.25,18.8,,
61,David Klingler,OAK,27,,1,0,,10,24,41.7,87,0,0,0,0,5,20,3.6,3.6,8.7,87,51.9,4,16,2.54,2.54,14.3,,
62,Wade Wilson,DAL,37,,3,1,0-1-0,8,18,44.4,79,0,0,1,5.6,4,20,4.4,1.9,9.9,26.3,34.3,1,7,3.79,1.42,5.3,,
63,Mark Rypien,PHI,34,,1,0,,10,13,76.9,76,1,7.7,0,0,5,16,5.8,7.4,7.6,76,116.2,0,0,5.85,7.38,0,,
64,Casey Weldon,TAM,27,,3,0,,5,9,55.6,76,0,0,1,11.1,2,42,8.4,3.4,15.2,25.3,44,2,10,6,1.91,18.2,,
65,Kerwin Bell,IND,31,,1,0,,5,5,100,75,1,20,0,0,4,30,15,19,15,75,158.3,0,0,15,19,0,,
66,Todd Sauerbrun,CHI,23,,16,0,,2,2,100,63,0,0,0,0,2,47,31.5,31.5,31.5,3.9,118.7,0,0,31.5,31.5,0,,
67,Browning Nagle,ATL,28,,5,0,,6,13,46.2,59,1,7.7,2,15.4,3,17,4.5,-0.8,9.8,11.8,45.5,4,20,2.29,-1.82,23.5,,
68,Jeff Lewis,DEN,23,,2,0,,9,17,52.9,58,0,0,1,5.9,3,11,3.4,0.8,6.4,29,35.9,1,7,2.83,0.33,5.6,,
69,Jason Garrett,DAL,30,,1,0,,3,3,100,44,0,0,0,0,1,32,14.7,14.7,14.7,44,118.7,0,0,14.67,14.67,0,,
70,Gino Torretta,SEA,26,,1,0,,5,16,31.3,41,1,6.3,1,6.3,1,32,2.6,1,8.2,41,35.4,3,17,1.26,-0.05,15.8,,
71,Jim McMahon,GNB,37,,5,0,,3,4,75,39,0,0,0,0,3,24,9.8,9.8,13,7.8,105.2,0,0,9.75,9.75,0,,
72,Steve Stenstrom,CHI,25,,1,0,,3,4,75,37,0,0,0,0,1,28,9.3,9.3,12.3,37,103.1,1,5,6.4,6.4,20,,
73,Curtis Conway,CHI,25,WR,16,16,,1,1,100,33,1,100,0,0,1,33,33,53,33,2.1,158.3,0,0,33,53,0,,
74,Jay Walker,MIN,24,,1,0,,2,2,100,31,0,0,0,0,2,19,15.5,15.5,15.5,31,118.7,0,0,15.5,15.5,0,,
75,Danan Hughes,KAN,26,,15,2,,1,1,100,30,0,0,0,0,1,30,30,30,30,2,118.7,0,0,30,30,0,,
76,Terry Kirby,SFO,26,RB,14,10,,1,2,50,24,1,50,0,0,1,24,12,22,24,1.7,133.3,0,0,12,22,0,,
77,Tyrone Wheatley,NYG,24,,14,0,,1,1,100,24,1,100,0,0,1,24,24,44,24,1.7,158.3,0,0,24,44,0,,
78,Harvey Williams,OAK,29,rb,13,5,,1,2,50,18,1,50,0,0,1,18,9,19,18,1.4,120.8,0,0,9,19,0,,
79,Isaac Bruce*,STL,24,WR,16,16,,1,2,50,15,0,0,1,50,1,15,7.5,-15,15,0.9,35.4,0,0,7.5,-15,0,,
80,Carl Pickens*,CIN,26,WR,16,16,,1,1,100,12,0,0,0,0,1,12,12,12,12,0.8,116.7,0,0,12,12,0,,
81,Scott Milanovich,TAM,23,,1,0,,2,3,66.7,9,0,0,0,0,0,8,3,3,4.5,9,70.1,0,0,3,3,0,,
82,Alex Van Pelt,BUF,26,,1,0,,2,5,40,9,0,0,0,0,0,5,1.8,1.8,4.5,9,47.9,0,0,1.8,1.8,0,,
83,Daryl Hobbs,OAK,28,,16,1,,1,1,100,7,0,0,0,0,0,7,7,7,7,0.4,95.8,0,0,7,7,0,,
84,Scott Zolak,NWE,29,,3,0,,1,1,100,5,0,0,0,0,0,5,5,5,5,1.7,87.5,0,0,5,5,0,,
85,Marcus Allen,KAN,36,RB,16,15,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
86,Aaron Craver,DEN,28,FB,15,15,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
87,Stan Gelbaugh,SEA,34,,1,1,1-0-0,0,2,0,0,0,0,0,0,0,0,0,0,,0,39.6,1,11,-3.67,-3.67,33.3,,
88,Marrio Grier,NWE,25,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
89,Craig Hentrich,GNB,25,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
90,Earnest Hunter,2TM,26,,11,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
91,Dave Meggett*,NWE,30,,16,1,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
92,Brian Mitchell,WAS,28,,16,2,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
93,Jerry Rice*+,SFO,34,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
94,Barry Sanders*,DET,28,RB,16,16,,0,1,0,0,0,0,1,100,0,0,0,-45,,0,0,0,0,0,-45,0,,
95,Tom Tupa,NWE,30,,16,0,,0,2,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
96,Chris Walsh,MIN,28,,15,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
97,Sherman Williams,DAL,23,,16,1,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
98,Mark Royals,DET,31,,16,0,,1,1,100,-8,0,0,0,0,0,-8,-8,-8,-8,-0.5,79.2,0,0,-8,-8,0,,
